alternative_id,dataset_id,g1,g2,g3,g4,g5,g6,latent_score,class_index,class_label
synthetic_monotone_additive_1,synthetic_monotone_additive,0.18603623356486787,0.1485498743561665,0.9636954784946289,0.9025506658962607,0.15635841953815732,0.6563754980864487,0.46553614822204425,2,Cl2
synthetic_monotone_additive_2,synthetic_monotone_additive,0.7722475308076092,0.04327277317185618,0.8361916273621491,0.6779036011710867,0.1862214049279869,0.5037482208781272,0.5090345150581586,3,Cl3
synthetic_monotone_additive_3,synthetic_monotone_additive,0.9849912018526575,0.9526529483832771,0.6980500543464321,0.900681279039584,0.08220503020642911,0.3901563383348725,0.7221198397243769,4,Cl4
synthetic_monotone_additive_4,synthetic_monotone_additive,0.2547200197233961,0.5562134751579363,0.5198682366284784,0.44790083466551356,0.8143720971163511,0.33329875690995026,0.46852170802635046,2,Cl2
synthetic_monotone_additive_5,synthetic_monotone_additive,0.5979051871915398,0.822514980568921,0.08301168354778321,0.18828436550188354,0.4164715479603224,0.3812334716229626,0.4117355223736928,1,Cl1
synthetic_monotone_additive_6,synthetic_monotone_additive,0.17250621726357063,0.6157706273250552,0.4652747221813005,0.013588517066853267,0.78626852187805,0.25942307251745034,0.3744356995216012,1,Cl1
synthetic_monotone_additive_7,synthetic_monotone_additive,0.27100909946068086,0.2970515973831831,0.4641907822956416,0.000575593317262979,0.02559266286044304,0.9152726806864085,0.305409796608535,1,Cl1
synthetic_monotone_additive_8,synthetic_monotone_additive,0.5053156012121718,0.5298297890188316,0.01950727626097548,0.30178440528882655,0.1208692455421485,0.6275065987987153,0.37370190399000786,1,Cl1
synthetic_monotone_additive_9,synthetic_monotone_additive,0.7450156711234337,0.2728048419412247,0.6084457923379142,0.92438408354444,0.15436009842124931,0.9778085859186932,0.5837024606588906,4,Cl4
synthetic_monotone_additive_10,synthetic_monotone_additive,0.6694510261287756,0.2761347716029422,0.10136189382272842,0.41641000095973035,0.5788478576405329,0.3099229921178339,0.4142536874921698,1,Cl1
synthetic_monotone_additive_11,synthetic_monotone_additive,0.3113782912587607,0.8659056077677574,0.4896956763439849,0.07034491548302746,0.7537128522558628,0.2757931512801485,0.4844511591231293,2,Cl2
synthetic_monotone_additive_12,synthetic_monotone_additive,0.8695045316256601,0.1582798113049777,0.5600968101775268,0.7506511184972998,0.1122019733405214,0.8364668258325122,0.5711375958400393,3,Cl3
