,,,综合得分,国际学生占比,国际教师比例,师生比,每位教员引用率,学术声誉,雇主声誉
1,1,麻省理工学院,100,91.4,100,100,100,100,100
2,2,牛津大学,99.5,98.5,99.5,100,96,100,100
3,3,斯坦福大学,98.7,67,99.8,100,99.9,100,100
4,3,剑桥大学,98.7,97.7,100,100,92.1,100,100
5,5,哈佛大学,98,70.1,84.2,99.1,100,100,100
6,6,加州理工大学（Caltech),97.4,87.7,99.4,100,100,96.7,89.9
7,7,帝国理工学院,97.3,100,100,99.8,88.1,98.4,99.8
8,8,苏黎世联邦理工大学（瑞士联邦理工学院）,95.4,98.2,100,80.4,99.8,98.7,95.3
9,8,伦敦大学学院,95.4,100,99.5,99,78,99.4,98.9
10,10,芝加哥大学,94.5,84.9,71.9,95.5,90.6,99.2,93.5
11,11,新加坡国立大学,93.9,70.3,100,86.8,90.6,99.6,97.1
12,12,南洋理工大学,90.8,69.6,100,89.5,95.5,91.1,85
13,13,宾夕法尼亚大学,90.7,58.1,94.1,100,74,96.2,93.8
14,14,洛桑联邦理工学院（EPFL),90.2,100,100,94.8,99.8,82.4,79.7
15,14,耶鲁大学,90.2,69.8,87.9,100,59.9,99.9,100
16,16,爱丁堡大学,89.9,99.6,99.3,83.5,69.5,98,97.3
17,17,清华大学,89,26.3,15.3,90.6,96,98.6,97.6
18,18,北京大学,88.8,38.5,45.6,83.5,89.5,99.4,98.2
19,19,哥伦比亚大学,88.7,98.4,52.7,100,55.6,99.6,98.4
20,20,普林斯顿大学,88.6,63.2,28.1,68.7,100,99.9,99.2
21,21,康奈尔大学,88.3,66.1,75.6,61.3,98.9,98.4,93.9
22,22,香港大学（HKU）,86.3,98.9,100,85.4,62.1,97.9,73.1
23,23,东京大学,86.2,28.5,3.3,92.4,79,100,99.6
24,23,密歇根大学,86.2,34.9,63.4,90.2,70.5,98.6,93
25,25,约翰霍普金斯大学,85.9,91.7,55.1,100,89.9,87.6,51.6
26,26,多伦多大学,85.3,94.9,98.6,69.4,58.8,99.5,98.2
27,27,麦吉尔大学,84,96.6,92.2,73.3,65.5,92.5,94.4
