alternative_id,dataset_id,source_dataset,g1,g2,g3,g4,g5,g6,source_y,class_index,class_label
toc_uco_oc04_lestsensors_1,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.5818181818181818,0.2434988179669031,0.22716135806790339,0.42016806722689076,0.4323410013531797,0.23164573930917376,2,3,Cl3
toc_uco_oc04_lestsensors_2,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.4339393939393939,0.5165484633569739,0.30136506825341264,0.5014005602240896,0.5233423545331538,0.18446502780029744,2,3,Cl3
toc_uco_oc04_lestsensors_3,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.543030303030303,0.3546099290780142,0.36716835841792084,0.5644257703081231,0.48173207036535953,0.2543264412427467,3,4,Cl4
toc_uco_oc04_lestsensors_4,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.20303030303030303,0.2907801418439716,0.2845642282114106,0.44537815126050423,0.39715832205683393,0.3241878546851959,3,4,Cl4
toc_uco_oc04_lestsensors_5,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.18303030303030302,0.38770685579196223,0.19215960798039902,0.3473389355742297,0.4201623815967521,0.39404926812764507,2,3,Cl3
toc_uco_oc04_lestsensors_6,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.4042424242424243,0.14657210401891252,0.09205460273013649,0.2745098039215686,0.41069012178619857,0.5211729301724385,1,2,Cl2
toc_uco_oc04_lestsensors_7,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.19515151515151513,0.46572104018912525,0.05145257262863143,0.22759103641456582,0.45230040595399285,0.464919427774267,0,1,Cl1
toc_uco_oc04_lestsensors_8,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.6575757575757575,0.22931442080378253,0.035351767588379414,0.21008403361344538,0.5903247631935056,0.3530632918014638,0,1,Cl1
toc_uco_oc04_lestsensors_9,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.38787878787878793,0.10520094562647754,0.0,0.21533613445378152,0.6234776725304468,0.2568937460868743,1,2,Cl2
toc_uco_oc04_lestsensors_10,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.30727272727272725,0.39361702127659576,0.0031501575078753917,0.18347338935574228,0.4945872801082547,0.5536631918954632,3,4,Cl4
toc_uco_oc04_lestsensors_11,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.4,0.37352245862884165,0.15015750787539375,0.31512605042016806,0.5290933694181329,0.4613176453910762,2,3,Cl3
toc_uco_oc04_lestsensors_12,toc_uco_oc04_lestsensors,oc04_LESTSensors,0.6248484848484848,0.6229314420803782,0.3293664683234161,0.5014005602240896,0.39479025710419463,0.5298842136705836,0,1,Cl1
