alternative_id,dataset_id,source_dataset,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,source_y,class_index,class_label
toc_uco_oc04_support_1,toc_uco_oc04_support,oc04_support,0.6403613328355486,1.0,1.0,0.0,0.0,0.47482724580454094,0.42857142857142855,0.0,0.0008522101088980283,0.004302259255417641,0.24598931251422682,0.4888888888888889,0.09954981612707114,0.32666666666666666,0.375,0.44833782569631625,0.10435941146773592,0.2807017543859649,0.37200055857142855,0,1,Cl1
toc_uco_oc04_support_2,toc_uco_oc04_support,oc04_support,0.5896713807477718,0.0,1.0,0.0,0.02575107296137339,0.22211253701875616,0.8571428571428571,0.0,0.01744271282483104,0.025568087220090123,0.18983958046741392,0.3888888888888889,0.06252935449090172,0.24333333333333335,0.46875,0.3908355795148248,0.1739146595315875,0.3157894736842105,0.0,0,1,Cl1
toc_uco_oc04_support_3,toc_uco_oc04_support,oc04_support,0.6295863723999144,0.0,1.0,0.0,0.004291845493562232,0.3119447186574531,0.14285714285714285,0.0,0.0009876427841301345,0.004061257771272638,0.05347594549658259,0.39444444444444443,0.091537998084799,0.2,0.4375,0.37915543575920935,0.06956055616435303,0.38596491228070173,0.0,0,1,Cl1
toc_uco_oc04_support_4,toc_uco_oc04_support,oc04_support,0.36602806065516913,0.0,0.0,0.0,0.034334763948497854,0.32379072063178677,0.14285714285714285,0.0,0.08721085547065055,0.09609310672910576,0.48663102128628205,0.6388888888888888,0.15856369536527093,0.4166666666666667,0.703125,0.6900269541778976,0.034782931871531385,0.3333333333333333,0.0,0,1,Cl1
toc_uco_oc04_support_5,toc_uco_oc04_support,oc04_support,0.5254261296696904,0.0,0.0,0.0,0.004291845493562232,0.46100691016781836,0.42857142857142855,0.0,0.004139161136781246,0.00582397758544078,0.13368984842060103,0.5555555555555556,0.08454231306252234,0.2633333333333333,0.375,0.44833782569631625,0.11304320194869541,0.3508771929824561,0.2857142857142857,0,1,Cl1
toc_uco_oc04_support_6,toc_uco_oc04_support,oc04_support,0.4680713157907941,0.0,1.0,0.0,0.02575107296137339,0.8361303060217177,0.5714285714285714,0.0,0.01517820441327687,0.02462863160294063,0.22994653192942313,0.6166666666666667,0.07353094848428944,0.36666666666666664,0.328125,0.48247978436657685,0.2173973053159299,0.6491228070175439,0.5714285714285714,0,1,Cl1
toc_uco_oc04_support_7,toc_uco_oc04_support,oc04_support,0.5613319585643187,1.0,0.0,0.0,0.017167381974248927,0.08341559723593288,0.2857142857142857,0.0,0.006253265197154424,0.010828950277941046,0.03743316491177891,0.3888888888888889,0.052524352447869176,0.23666666666666666,0.3125,0.4941599281221923,0.052171743844011624,0.38596491228070173,0.16667829285714286,0,1,Cl1
toc_uco_oc04_support_8,toc_uco_oc04_support,oc04_support,0.6736994004227153,0.0,1.0,0.0,0.04291845493562232,0.466436327739388,0.2857142857142857,0.09,0.015278498674621981,0.02319316709372651,0.21390375134461945,0.46111111111111114,0.06652549297721765,0.25333333333333335,0.3125,0.29829290206648695,0.19998726181109663,0.5614035087719298,0.5714285714285714,0,1,Cl1
toc_uco_oc04_support_9,toc_uco_oc04_support,oc04_support,0.5835953149717158,0.0,1.0,0.0,0.13733905579399142,0.2620927936821323,0.2857142857142857,0.41,0.056011230077430245,0.0768025031981468,0.25000000766042774,0.28888888888888886,0.10754209289960295,0.35,0.40625,0.862533692722372,0.12174822326628561,0.40350877192982454,0.0,0,1,Cl1
toc_uco_oc04_support_10,toc_uco_oc04_support,oc04_support,0.5453086878097277,1.0,0.0,0.0,0.02575107296137339,0.1372161895360316,0.42857142857142855,0.0,0.005538180671928903,0.00993547403642622,0.10160428725099364,0.5833333333333334,0.10654550164959792,0.27,0.375,0.4249775381850854,0.11304320194869541,0.3157894736842105,0.14285714285714285,0,1,Cl1
toc_uco_oc04_support_11,toc_uco_oc04_support,oc04_support,0.53310608956695,1.0,0.0,0.0,0.04721030042918455,0.12586377097729518,0.2857142857142857,0.26,0.02301305875712757,0.0321671462286198,0.24598931251422682,0.5611111111111111,0.17357119842981975,0.25666666666666665,0.1875,0.44833782569631625,0.043477337857771504,0.3684210526315789,0.0,0,1,Cl1
toc_uco_oc04_support_12,toc_uco_oc04_support,oc04_support,0.2564302518782358,0.0,1.0,0.0,0.06866952789699571,0.40029615004935837,0.2857142857142857,0.0,0.1404358968368683,0.12247933862708264,0.48663102128628205,0.32222222222222224,0.049524805911908436,0.38333333333333336,0.15625,0.7358490566037735,0.06956055616435303,0.24561403508771928,0.0,0,1,Cl1
toc_uco_oc04_support_13,toc_uco_oc04_support,oc04_support,0.6517495584023624,0.0,1.0,0.0,0.012875536480686695,0.9886475814412635,0.2857142857142857,0.0,0.0008169976133376807,0.006152300860138221,0.06951872608138628,0.55,0.07853344950580571,0.2,0.3125,0.37915543575920935,0.12174822326628561,0.43859649122807015,0.0,0,1,Cl1
toc_uco_oc04_support_14,toc_uco_oc04_support,oc04_support,0.4609052148489812,1.0,0.0,0.0,0.004291845493562232,0.4921026653504442,0.14285714285714285,0.0,0.0015551056933526596,0.0040726000453310904,0.18181819017501208,0.5777777777777777,0.10554890939909267,0.23,0.375,0.6433063791554358,0.06956055616435303,0.24561403508771928,0.0,0,1,Cl1
toc_uco_oc04_support_15,toc_uco_oc04_support,oc04_support,0.6426285779168238,0.0,0.0,0.0,0.14163090128755365,0.9516288252714709,0.14285714285714285,0.0,0.13596255557395182,0.22378239924396962,0.44251337467807195,0.37777777777777777,0.08852868106404312,0.4,0.4375,0.6549865229110512,0.034782931871531385,0.15789473684210525,0.14285714285714285,0,1,Cl1
toc_uco_oc04_support_16,toc_uco_oc04_support,oc04_support,0.6167575096122654,0.0,1.0,0.0,0.008583690987124463,0.32477788746298125,0.42857142857142855,0.0,0.009189445596186487,0.010503903416606801,0.29411765426863784,0.5555555555555556,0.0745373110194898,0.3933333333333333,0.375,0.4025157232704403,0.0782655774819432,0.3157894736842105,0.14285714285714285,0,1,Cl1
toc_uco_oc04_support_17,toc_uco_oc04_support,oc04_support,0.5924402496000183,0.0,0.0,0.0,0.18025751072961374,0.9753208292201382,0.2857142857142857,0.0,0.08067758321745375,0.11651818813938926,0.3943850329236609,0.35,0.15057141859273912,0.4666666666666667,0.625,0.3333333333333333,0.1739146595315875,0.19298245614035087,0.14285714285714285,0,1,Cl1
toc_uco_oc04_support_18,toc_uco_oc04_support,oc04_support,0.6429046237740597,0.0,0.0,0.0,0.09012875536480687,0.7428430404738401,0.2857142857142857,0.0,0.04720675186059102,0.07099281643085537,0.3689838005627858,0.36666666666666664,0.08053640409141127,0.0,0.4375,0.4941599281221923,0.0782655774819432,0.21052631578947367,0.0,0,1,Cl1
toc_uco_oc04_support_19,toc_uco_oc04_support,oc04_support,0.550319950512525,0.0,0.0,0.0,0.030042918454935622,0.2793682132280355,0.14285714285714285,0.0,0.0475588768161945,0.05973791689556306,0.286096263976236,0.6055555555555555,0.1085386851501082,0.37,0.625,0.5974842767295597,0.052171743844011624,0.2982456140350877,0.0,0,1,Cl1
toc_uco_oc04_support_20,toc_uco_oc04_support,oc04_support,0.47976043844556804,1.0,0.0,0.0,0.0944206008583691,0.049358341559723594,0.42857142857142855,0.26,0.7268499003046219,0.13559830302937173,0.5588235339178986,0.31666666666666665,0.09954981612707114,0.38333333333333336,0.53125,0.6091644204851752,0.14784205725207833,0.17543859649122806,0.0,0,1,Cl1
toc_uco_oc04_support_21,toc_uco_oc04_support,oc04_support,0.08747285678634512,0.0,0.0,0.0,0.03862660944206009,0.2502467917077986,0.0,0.37,0.05670058239436167,0.07105692355564776,0.29411765426863784,0.6166666666666667,0.09954981612707114,0.35,0.5625,0.6666666666666666,0.034782931871531385,0.2982456140350877,0.0,0,1,Cl1
toc_uco_oc04_support_22,toc_uco_oc04_support,oc04_support,0.4016586091746131,1.0,1.0,0.0,0.008583690987124463,0.31638696939782823,0.42857142857142855,0.0,0.006753011768760896,0.00962513834305903,0.1497326290054047,0.5666666666666667,0.15457732736375013,0.26666666666666666,0.28125,0.5175202156334232,0.060876765683393536,0.38596491228070173,0.1666999542857143,0,1,Cl1
toc_uco_oc04_support_23,toc_uco_oc04_support,oc04_support,0.8309047793009694,1.0,1.0,0.0,0.004291845493562232,0.16386969397828233,0.42857142857142855,0.0,0.0005542582233873947,0.003664110531026826,0.06951872608138628,0.6111111111111112,0.04851844337670808,0.2633333333333333,0.375,0.4132973944294699,0.11304320194869541,0.40350877192982454,0.0,0,1,Cl1
toc_uco_oc04_support_24,toc_uco_oc04_support,oc04_support,0.3670553951986197,0.0,0.0,0.0,0.004291845493562232,0.5335636722606121,0.14285714285714285,0.0,0.0048474740282451615,0.008034988686435632,0.10160428725099364,0.39444444444444443,0.04851844337670808,0.21333333333333335,0.34375,0.44833782569631625,0.06956055616435303,0.3684210526315789,0.14285714285714285,0,1,Cl1
toc_uco_oc04_support_25,toc_uco_oc04_support,oc04_support,0.6989809097358287,1.0,1.0,0.0,0.008583690987124463,0.10069101678183613,0.42857142857142855,0.0,0.0029730858030328116,0.007035212678363112,0.1497326290054047,0.40555555555555556,0.0565204909341851,0.37,0.34375,0.46001796945193174,0.13913703506483527,0.40350877192982454,0.14285714285714285,0,1,Cl1
toc_uco_oc04_support_26,toc_uco_oc04_support,oc04_support,0.6324431789783043,1.0,1.0,0.0,0.008583690987124463,0.3282329713721619,0.7142857142857143,0.0,0.002780771404203221,0.006311898079319162,0.08556150666618996,0.5944444444444444,0.05852344541974063,0.17666666666666667,0.34375,0.3674752920035939,0.09565438928049286,0.40350877192982454,0.14285714285714285,0,1,Cl1
toc_uco_oc04_support_27,toc_uco_oc04_support,oc04_support,0.331863385207563,1.0,0.0,0.0,0.09012875536480687,0.0384995064165844,0.14285714285714285,0.0,0.13420777065289047,0.1734490428609296,0.28876989763876737,0.3888888888888889,0.0025011741785955486,0.26666666666666666,0.375,0.4132973944294699,0.043477337857771504,0.3508771929824561,0.0,0,1,Cl1
toc_uco_oc04_support_28,toc_uco_oc04_support,oc04_support,0.5053558442603339,1.0,0.0,0.0,0.017167381974248927,0.043928923988154,0.5714285714285714,0.0,0.006736759847733044,0.011330751612519063,0.02139038432697522,0.5833333333333334,0.24462234575104305,0.38,0.375,0.44833782569631625,0.043477337857771504,0.3508771929824561,0.4547293528571429,0,1,Cl1
toc_uco_oc04_support_29,toc_uco_oc04_support,oc04_support,0.39188651291347865,0.0,0.0,0.0,0.09871244635193133,0.7324777887462981,0.2857142857142857,0.0,0.012064681291364102,0.045947509415164914,0.1497326290054047,0.31666666666666665,0.26260008379711713,0.25333333333333335,0.3125,0.46001796945193174,0.09565438928049286,0.22807017543859648,0.0,0,1,Cl1
toc_uco_oc04_support_30,toc_uco_oc04_support,oc04_support,0.5054185473883096,1.0,1.0,0.0,0.07725321888412018,0.0315893385982231,0.14285714285714285,0.0,0.09519054869532625,0.10107296384653505,0.438502679531871,0.37777777777777777,0.12655550573566302,0.45,0.09375,0.6549865229110512,0.1304320137472451,0.22807017543859648,0.0,0,1,Cl1
toc_uco_oc04_support_31,toc_uco_oc04_support,oc04_support,0.5552558927882627,0.0,0.0,0.0,0.034334763948497854,0.2428430404738401,0.14285714285714285,0.0,0.016012543774379998,0.019380101341877093,0.18181819017501208,0.5388888888888889,0.11655050369263047,0.26666666666666666,0.390625,0.48247978436657685,0.043477337857771504,0.24561403508771928,0.14285714285714285,0,1,Cl1
toc_uco_oc04_support_32,toc_uco_oc04_support,oc04_support,0.5751885367571922,1.0,1.0,0.0,0.1630901287553648,0.09921026653504442,0.2857142857142857,0.41,0.1133331098694192,0.13355832408143717,0.4545454601166747,0.3611111111111111,0.46270012465776794,0.26666666666666666,0.5,0.6666666666666666,0.10435941146773592,0.2631578947368421,0.3494698657142857,0,1,Cl1
toc_uco_oc04_support_33,toc_uco_oc04_support,oc04_support,0.5598286169626727,0.0,1.0,0.0,0.017167381974248927,0.8721618953603159,0.2857142857142857,0.0,0.007750875494371587,0.013673238086823122,0.02941177461937706,0.5555555555555556,0.06052640000534619,0.26,0.3125,0.44833782569631625,0.10435941146773592,0.45614035087719296,0.0,0,1,Cl1
toc_uco_oc04_support_34,toc_uco_oc04_support,oc04_support,0.21403428904811483,0.0,1.0,0.0,0.02575107296137339,0.7847976307996052,0.0,0.0,0.03520800935298055,0.04441886567271209,0.4224598989470673,0.3388888888888889,0.06852844746277317,0.42,0.15625,0.6783468104222821,0.06956055616435303,0.6140350877192983,0.0,0,1,Cl1
toc_uco_oc04_support_35,toc_uco_oc04_support,oc04_support,0.6809025890325628,0.0,0.0,0.0,0.06866952789699571,0.324284304047384,0.2857142857142857,0.0,0.07472802579450732,0.0910444206264142,0.5989304853799079,0.25,0.13355119025768955,0.42333333333333334,0.15625,0.3908355795148248,0.0782655774819432,0.47368421052631576,0.0,0,1,Cl1
toc_uco_oc04_support_36,toc_uco_oc04_support,oc04_support,0.5981653312063873,1.0,1.0,0.0,0.06437768240343347,0.5399802566633761,0.42857142857142855,0.26,0.03294162817839327,0.0478500306689153,0.41176462953759124,0.31666666666666665,1.0,0.35,0.1875,0.6783468104222821,0.09565438928049286,0.49122807017543857,0.0,0,1,Cl1
toc_uco_oc04_support_37,toc_uco_oc04_support,oc04_support,0.5036395432968707,1.0,0.0,0.0,0.008583690987124463,0.18065153010858837,0.14285714285714285,0.0,0.0047729172841550205,0.008878844057209371,0.1497326290054047,0.40555555555555556,0.06652549297721765,0.36666666666666664,0.25,0.5058400718778078,0.026088525885291262,0.3333333333333333,0.5714285714285714,0,1,Cl1
toc_uco_oc04_support_38,toc_uco_oc04_support,oc04_support,0.3578220078708218,1.0,0.0,0.0,0.02575107296137339,0.1920039486673248,0.14285714285714285,0.0,0.07181757760376936,0.0735877493370008,0.3582887766078526,0.3055555555555556,0.07653049502025018,0.24,0.546875,0.5058400718778078,0.034782931871531385,0.38596491228070173,0.0,0,1,Cl1
