alternative_id,dataset_id,source_dataset,g1,g2,g3,g4,g5,g6,source_y,class_index,class_label
toc_uco_oc04_levxsensors_1,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.7463672391017172,0.47215777262180963,0.3275862068965517,0.5800000000000001,0.438729720400413,1.0,0,1,Cl1
toc_uco_oc04_levxsensors_2,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.5948480845442534,0.5150812064965197,0.32112068965517243,0.5785714285714285,0.5340006903693463,0.9055770292655991,0,1,Cl1
toc_uco_oc04_levxsensors_3,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.6848084544253631,0.3538283062645011,0.3426724137931034,0.5978571428571429,0.4853296513634782,0.8850656723270401,2,3,Cl3
toc_uco_oc04_levxsensors_4,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.5040951122853369,0.19837587006960553,0.2873563218390805,0.4785714285714286,0.3614083534691055,0.7364420923321277,3,4,Cl4
toc_uco_oc04_levxsensors_5,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.3309114927344781,0.3352668213457076,0.17959770114942528,0.36857142857142855,0.39868829823955765,0.5220220996531806,2,3,Cl3
toc_uco_oc04_levxsensors_6,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.7305151915455745,0.17285382830626447,0.07183908045977011,0.29714285714285715,0.40697273041076926,0.30760210697423357,2,3,Cl3
toc_uco_oc04_levxsensors_7,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.0964332892998679,0.45359628770301613,0.07902298850574713,0.24285714285714285,0.42837418018639856,0.2048591938155715,3,4,Cl4
toc_uco_oc04_levxsensors_8,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.5918097754293262,0.3004640371229698,0.056752873563218384,0.21142857142857144,0.5854332067656195,0.2048591938155715,3,4,Cl4
toc_uco_oc04_levxsensors_9,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.5079260237780713,0.11484918793503476,0.03879310344827586,0.2057142857142857,0.6227131515360717,0.2048591938155715,2,3,Cl3
toc_uco_oc04_levxsensors_10,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.6003963011889033,0.17517401392111365,0.004310344827586207,0.2007142857142857,0.47497411114946375,0.2048591938155715,1,2,Cl2
toc_uco_oc04_levxsensors_11,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.605680317040951,0.339907192575406,0.12643678160919541,0.3464285714285715,0.5350362443907477,0.19160684704583103,1,2,Cl2
toc_uco_oc04_levxsensors_12,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.7107001321003962,0.4872389791183294,0.298132183908046,0.525,0.4228512254055921,0.7912755383765875,0,1,Cl1
toc_uco_oc04_levxsensors_13,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.6149273447820341,0.49303944315545234,0.31178160919540227,0.5771428571428571,0.3572661373834997,0.8125897294312534,1,2,Cl2
toc_uco_oc04_levxsensors_14,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.8546895640686922,0.41879350348027833,0.2880747126436781,0.5221428571428571,0.4449430445288217,0.5048923246824958,2,3,Cl3
toc_uco_oc04_levxsensors_15,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.5951122853368558,0.5232018561484918,0.2557471264367816,0.51,0.6078702105626502,0.561038100496963,0,1,Cl1
toc_uco_oc04_levxsensors_16,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.64002642007926,0.4953596287703015,0.39080459770114945,0.6585714285714285,0.5878494994822216,0.8674765323025952,0,1,Cl1
toc_uco_oc04_levxsensors_17,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.4643328929986789,0.2064965197215777,0.3333333333333333,0.5942857142857142,0.6548153261995165,0.7004969630038652,0,1,Cl1
toc_uco_oc04_levxsensors_18,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.4940554821664464,0.3190255220417633,0.3793103448275862,0.61,0.5616154642733862,0.6865819988956378,0,1,Cl1
toc_uco_oc04_levxsensors_19,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.6571994715984147,0.4698375870069605,0.3649425287356322,0.61,0.5781843286158094,0.5245720596355604,0,1,Cl1
toc_uco_oc04_levxsensors_20,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.6856010568031702,0.27030162412993036,0.27873563218390807,0.5328571428571429,0.6541249568519143,0.4489232468249586,0,1,Cl1
toc_uco_oc04_levxsensors_21,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.5845442536327606,0.4176334106728538,0.298132183908046,0.5564285714285715,0.6527442181567137,0.3642028871184034,0,1,Cl1
toc_uco_oc04_levxsensors_22,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.546895640686922,0.3839907192575406,0.33189655172413796,0.6071428571428571,0.5992405937176376,0.7296679025005915,0,1,Cl1
toc_uco_oc04_levxsensors_23,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.3956406869220608,0.24245939675174014,0.29310344827586204,0.5628571428571428,0.565757680358992,0.20699742707097293,3,4,Cl4
toc_uco_oc04_levxsensors_24,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.2701453104359313,0.4327146171693735,0.2672413793103448,0.4157142857142857,0.7107352433551929,0.05466593042517943,3,4,Cl4
toc_uco_oc04_levxsensors_25,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.2212681638044914,0.32366589327146167,0.19827586206896552,0.33142857142857146,0.7314463237832218,0.06368880482159846,3,4,Cl4
toc_uco_oc04_levxsensors_26,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.2311756935270806,0.3538283062645011,0.21192528735632182,0.30428571428571427,0.6989989644459778,0.07271167921801755,3,4,Cl4
toc_uco_oc04_levxsensors_27,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.14564068692206075,0.6798143851508119,0.17672413793103448,0.18857142857142856,0.7017604418363829,0.08173455361443657,3,4,Cl4
toc_uco_oc04_levxsensors_28,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.43998867710888845,0.24477958236658934,0.1400862068965517,0.2671428571428571,0.683465654124956,0.09075742801085565,0,1,Cl1
toc_uco_oc04_levxsensors_29,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.55538780902057,0.21113689095127608,0.2349137931034483,0.4642857142857143,0.540214014497755,0.460918500417073,2,3,Cl3
toc_uco_oc04_levxsensors_30,toc_uco_oc04_levxsensors,oc04_LEVXSensors,0.8705416116248349,0.1682134570765661,0.22557471264367815,0.4542857142857143,0.5098377632033138,0.7117614577581447,0,1,Cl1
