alternative_id,dataset_id,subject,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,original_grade,class_index,class_label
student_performance_math_with_prior_grades_1,student_performance_math_with_prior_grades,math,0.42857142857142855,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.5,0.75,0.0,0.0,0.5,0.08,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.3157894736842105,6,1,Cl1
student_performance_math_with_prior_grades_2,student_performance_math_with_prior_grades,math,0.2857142857142857,0.25,0.25,0.0,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.05333333333333334,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.125,0.2631578947368421,6,1,Cl1
student_performance_math_with_prior_grades_3,student_performance_math_with_prior_grades,math,0.0,0.25,0.25,0.0,0.3333333333333333,1.0,0.75,0.5,0.25,0.25,0.5,0.5,0.13333333333333333,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.42105263157894735,10,2,Cl2
student_performance_math_with_prior_grades_4,student_performance_math_with_prior_grades,math,0.0,1.0,0.5,0.0,0.6666666666666666,0.0,0.5,0.25,0.25,0.0,0.0,1.0,0.02666666666666667,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.7368421052631579,15,4,Cl4
student_performance_math_with_prior_grades_5,student_performance_math_with_prior_grades,math,0.14285714285714285,0.75,0.75,0.0,0.3333333333333333,0.0,0.75,0.5,0.25,0.0,0.25,1.0,0.05333333333333334,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.1875,0.5263157894736842,10,2,Cl2
student_performance_math_with_prior_grades_6,student_performance_math_with_prior_grades,math,0.14285714285714285,1.0,0.75,0.0,0.3333333333333333,0.0,1.0,0.75,0.25,0.0,0.25,1.0,0.13333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.7894736842105263,15,4,Cl4
student_performance_math_with_prior_grades_7,student_performance_math_with_prior_grades,math,0.14285714285714285,0.5,0.5,0.0,0.3333333333333333,0.0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5625,0.631578947368421,11,2,Cl2
student_performance_math_with_prior_grades_8,student_performance_math_with_prior_grades,math,0.2857142857142857,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.08,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1875,0.2631578947368421,6,1,Cl1
student_performance_math_with_prior_grades_9,student_performance_math_with_prior_grades,math,0.0,0.75,0.5,0.0,0.3333333333333333,0.0,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8125,0.9473684210526315,19,5,Cl5
student_performance_math_with_prior_grades_10,student_performance_math_with_prior_grades,math,0.0,0.75,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6875,0.7894736842105263,15,4,Cl4
