alternative_id,dataset_id,subject,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,original_grade,class_index,class_label
student_performance_portuguese_no_prior_grades_1,student_performance_portuguese_no_prior_grades,portuguese,0.42857142857142855,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.5,0.75,0.0,0.0,0.5,0.125,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11,2,Cl2
student_performance_portuguese_no_prior_grades_2,student_performance_portuguese_no_prior_grades,portuguese,0.2857142857142857,0.25,0.25,0.0,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0625,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,11,2,Cl2
student_performance_portuguese_no_prior_grades_3,student_performance_portuguese_no_prior_grades,portuguese,0.0,0.25,0.25,0.0,0.3333333333333333,0.0,0.75,0.5,0.25,0.25,0.5,0.5,0.1875,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,12,3,Cl3
student_performance_portuguese_no_prior_grades_4,student_performance_portuguese_no_prior_grades,portuguese,0.0,1.0,0.5,0.0,0.6666666666666666,0.0,0.5,0.25,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,14,4,Cl4
student_performance_portuguese_no_prior_grades_5,student_performance_portuguese_no_prior_grades,portuguese,0.14285714285714285,0.75,0.75,0.0,0.3333333333333333,0.0,0.75,0.5,0.25,0.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,13,3,Cl3
student_performance_portuguese_no_prior_grades_6,student_performance_portuguese_no_prior_grades,portuguese,0.14285714285714285,1.0,0.75,0.0,0.3333333333333333,0.0,1.0,0.75,0.25,0.0,0.25,1.0,0.1875,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,13,3,Cl3
student_performance_portuguese_no_prior_grades_7,student_performance_portuguese_no_prior_grades,portuguese,0.14285714285714285,0.5,0.5,0.0,0.3333333333333333,0.0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,13,3,Cl3
student_performance_portuguese_no_prior_grades_8,student_performance_portuguese_no_prior_grades,portuguese,0.2857142857142857,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0625,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,13,3,Cl3
student_performance_portuguese_no_prior_grades_9,student_performance_portuguese_no_prior_grades,portuguese,0.0,0.75,0.5,0.0,0.3333333333333333,0.0,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,17,5,Cl5
student_performance_portuguese_no_prior_grades_10,student_performance_portuguese_no_prior_grades,portuguese,0.0,0.75,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,13,3,Cl3
