alternative_id,dataset_id,rank,university_name_raw,g1,g2,g3,g4,g5,g6,class_index,class_label
qs_2026_top500_common6_1,qs_2026_top500_common6,1,麻省理工学院 United States,0.9159999999999999,1.0,1.0,1.0,1.0,1.0,5,Cl5
qs_2026_top500_common6_2,qs_2026_top500_common6,2,帝国理工学院,1.0,1.0,0.993,0.95,0.996,1.0,5,Cl5
qs_2026_top500_common6_3,qs_2026_top500_common6,3,斯坦福大学,0.735,0.9420000000000001,1.0,0.997,1.0,1.0,5,Cl5
qs_2026_top500_common6_4,qs_2026_top500_common6,4,牛津大学,0.986,0.988,1.0,0.91,1.0,1.0,5,Cl5
qs_2026_top500_common6_5,qs_2026_top500_common6,5,哈佛大学,0.8140000000000001,0.7909999999999999,0.983,1.0,1.0,1.0,5,Cl5
qs_2026_top500_common6_6,qs_2026_top500_common6,6,剑桥大学,0.9309999999999999,1.0,1.0,0.8859999999999999,1.0,1.0,5,Cl5
qs_2026_top500_common6_7,qs_2026_top500_common6,7,苏黎世联邦理工大学（瑞士联邦理工学院）,0.993,1.0,0.7170000000000001,0.988,0.997,0.963,5,Cl5
qs_2026_top500_common6_8,qs_2026_top500_common6,8,新加坡国立大学,0.9690000000000001,1.0,0.715,0.9590000000000001,0.9990000000000001,0.982,5,Cl5
qs_2026_top500_common6_9,qs_2026_top500_common6,9,伦敦大学学院,1.0,0.996,0.948,0.809,0.9990000000000001,0.9940000000000001,5,Cl5
qs_2026_top500_common6_10,qs_2026_top500_common6,10,加州理工大学（Caltech),0.907,1.0,1.0,1.0,0.983,0.992,5,Cl5
qs_2026_top500_common6_11,qs_2026_top500_common6,11,香港大学（HKU）,1.0,1.0,0.853,0.966,0.993,0.825,5,Cl5
qs_2026_top500_common6_12,qs_2026_top500_common6,12,南洋理工大学,0.9309999999999999,1.0,0.8390000000000001,0.946,0.971,0.914,5,Cl5
qs_2026_top500_common6_13,qs_2026_top500_common6,13,芝加哥大学,0.9279999999999999,0.861,0.973,0.7809999999999999,0.998,0.993,5,Cl5
qs_2026_top500_common6_14,qs_2026_top500_common6,14,北京大学,0.373,0.599,0.9620000000000001,0.992,0.9990000000000001,0.996,5,Cl5
qs_2026_top500_common6_15,qs_2026_top500_common6,15,宾夕法尼亚大学,0.763,0.9690000000000001,0.9990000000000001,0.72,0.9890000000000001,0.987,5,Cl5
qs_2026_top500_common6_16,qs_2026_top500_common6,16,康奈尔大学,0.757,0.5760000000000001,0.643,0.98,0.995,0.988,5,Cl5
qs_2026_top500_common6_17,qs_2026_top500_common6,17,加州大学伯克利分校,0.706,0.956,0.294,0.972,1.0,1.0,5,Cl5
qs_2026_top500_common6_18,qs_2026_top500_common6,18,清华大学,0.319,0.395,0.971,0.996,0.9990000000000001,0.997,5,Cl5
qs_2026_top500_common6_19,qs_2026_top500_common6,19,墨尔本大学,1.0,0.9670000000000001,0.205,0.948,0.997,0.9740000000000001,5,Cl5
qs_2026_top500_common6_20,qs_2026_top500_common6,20,新南威尔士大学（UNSW）,0.9990000000000001,1.0,0.299,0.9690000000000001,0.963,0.935,5,Cl5
qs_2026_top500_common6_21,qs_2026_top500_common6,21,耶鲁大学,0.727,0.867,1.0,0.648,1.0,1.0,5,Cl5
qs_2026_top500_common6_22,qs_2026_top500_common6,22,洛桑联邦理工学院（EPFL),1.0,1.0,0.9,0.9309999999999999,0.927,0.88,5,Cl5
qs_2026_top500_common6_23,qs_2026_top500_common6,23,慕尼黑工业大学,0.9890000000000001,0.863,0.705,0.9259999999999999,0.92,0.997,5,Cl5
qs_2026_top500_common6_24,qs_2026_top500_common6,24,约翰霍普金斯大学,0.9420000000000001,0.708,1.0,0.858,0.932,0.792,5,Cl5
qs_2026_top500_common6_25,qs_2026_top500_common6,25,普林斯顿大学,0.7,0.127,0.6729999999999999,1.0,1.0,0.998,5,Cl5
qs_2026_top500_common6_26,qs_2026_top500_common6,26,悉尼大学,1.0,0.9990000000000001,0.157,0.943,0.9890000000000001,0.9420000000000001,5,Cl5
qs_2026_top500_common6_27,qs_2026_top500_common6,27,麦吉尔大学,0.935,0.8859999999999999,0.6729999999999999,0.7240000000000001,0.981,0.935,5,Cl5
qs_2026_top500_common6_28,qs_2026_top500_common6,28,巴黎科学艺术人文大学,0.755,0.696,0.986,0.851,0.826,0.985,5,Cl5
qs_2026_top500_common6_29,qs_2026_top500_common6,29,多伦多大学,0.9790000000000001,0.9790000000000001,0.457,0.688,1.0,0.991,5,Cl5
qs_2026_top500_common6_30,qs_2026_top500_common6,30,复旦大学,0.46399999999999997,0.885,0.848,0.9279999999999999,0.937,0.951,5,Cl5
qs_2026_top500_common6_31,qs_2026_top500_common6,31,伦敦国王学院,0.99,0.995,0.7440000000000001,0.7020000000000001,0.9620000000000001,0.9179999999999999,5,Cl5
qs_2026_top500_common6_32,qs_2026_top500_common6,32,澳大利亚国立大学（ANU),0.99,1.0,0.409,0.917,0.9790000000000001,0.826,5,Cl5
qs_2026_top500_common6_33,qs_2026_top500_common6,33,香港中文大学,0.9329999999999999,1.0,0.759,0.95,0.9420000000000001,0.6729999999999999,5,Cl5
qs_2026_top500_common6_34,qs_2026_top500_common6,34,爱丁堡大学,0.9990000000000001,0.997,0.773,0.5429999999999999,0.996,0.982,5,Cl5
qs_2026_top500_common6_35,qs_2026_top500_common6,35,曼彻斯特大学,0.995,0.953,0.5820000000000001,0.568,0.986,0.988,5,Cl5
qs_2026_top500_common6_36,qs_2026_top500_common6,36,东京大学,0.44,0.159,0.924,0.6990000000000001,1.0,0.9990000000000001,5,Cl5
qs_2026_top500_common6_37,qs_2026_top500_common6,37,蒙纳士大学,1.0,1.0,0.113,0.93,0.9570000000000001,0.875,5,Cl5
qs_2026_top500_common6_38,qs_2026_top500_common6,38,哥伦比亚大学,0.981,0.485,1.0,0.445,0.9990000000000001,0.9990000000000001,5,Cl5
qs_2026_top500_common6_39,qs_2026_top500_common6,39,首尔国立大学,0.275,0.132,0.856,0.812,0.997,0.991,5,Cl5
